CATEGORY,ITEM NAME,DESCRIPTION,Veg/Non Veg,Final Cost
The Pasta Kitchen,CLASSIC ALFREDO VEG,"Rich, creamy white sauce with Parmesan and herbs.",V,349
The Pasta Kitchen,CLASSIC ALFREDO NON-VEG,"Rich, creamy white sauce with Parmesan and herbsand grilled chicken",NV,389
The Pasta Kitchen,CREAMY PESTO VEG,Vibrant basil pesto finished with a touch of cream.,V,359
The Pasta Kitchen,CREAMY PESTO NON- VEG,Vibrant basil pesto finished with a touch of cream and chicken.,NV,399
The Pasta Kitchen,PENNE ARRABIATA VEG,"A fiery, tangy tomato and chili sauce",V,329
The Pasta Kitchen,PENNE ARRABIATA NON-VEG,"A fiery, tangy tomato and chili sauce with chicken",NV,369
The Pasta Kitchen,AGLIO E OLIO VEG,"Traditional garlic, olive oil, and a hint of red chili flakes.",V,329
The Pasta Kitchen,AGLIO E OLIO NON- VEG,"Traditional garlic, olive oil, and a hint of red chili flakes with chicken",NV,369
The Pasta Kitchen,Mac N Cheese,"Classic creamy macaroni in a rich, cheesy sauce.",V,229
The Pasta Kitchen,Nashville Mac N Cheese,Our classic creamy macaroni and cheese topped with spicy Nashville-style crispy chicken.,NV,299
PIZZA Stories,TURKISH CHICKEN,Spiced chicken on a crispy base with fresh veggies and mozzarella.,NV,459
PIZZA Stories,BBQ CHCIKEN,"Smoky BBQ base, tender chicken, onions, and garden herbs.",NV,459
PIZZA Stories,PANEER CORN,Sweet corn and marinated paneer—a vegetarian star.,V,419
PIZZA Stories,FARM HOUSE,Sweet corn and marinated paneer—a vegetarian star.,V,429
PIZZA Stories,MARGHERITA,"Classic tomato sauce, mozzarella, and fresh basil.",V,409
QUESADILLAS,FAJITA CHICKEN VERDE,"Zesty grilled chicken with sauteed peppers, onions, and melted cheese",NV,369
QUESADILLAS,MESQUITE BBQ CHICKEN,"Tangy pulled BBQ chicken, red onions, and a smoky cheese blend.",NV,399
QUESADILLAS,SMOKY CHIPOTLE PANEER,"Marinated paneer cubes, sweet corn, and chipotle emulsion pressed to melty perfection.",V,349
QUESADILLAS,GOLDEN CORN PEPPER,"A vegetarian classic featuring sweet corn, bell peppers, and a triple-cheese blend.",V,329
SANDWICHGourmet Burgers & Pressed Sandwiches,PANEER CHIPOTLE,Smoky grilled paneer with fresh veggies and melted cheese.,V,299
SANDWICHGourmet Burgers & Pressed Sandwiches,CHICKEN MELT,"Grilled chicken, chipotle sauce, and melty cheese on toasted bread.",NV,379
SANDWICHGourmet Burgers & Pressed Sandwiches,SPINACH & CHEESE CORN,A creamy vegetarian classic toasted to perfection.,V,279
